mat	pat	mat_1x	pat_1x	diploid	auto	chrX	final	project	sample	sex	chrY	PARchrX
2843872271	2845622966	2823760767	2824375421	2838735817	2659570724	149829154	2809399878	hprc	HG00735	F		
2801154649	2802571377	2789998308	2789800344	2807657290	2622891410	149156766	2772048176	eichler	NA19238	F		
2841867413	2843172914	2817958786	2819198542	2832630048	2654765997	149626117	2804392114	hprc	HG03486	F		
2843678329	2841273137	2824030010	2819587807	2837053242	2657794318	148749029	2806543347	hprc	HG01175	F		
2843829397	2843592720	2825183583	2821824843	2836125176	2660993333	149754751	2810748084	hprc	HG00438	F		
2718313448	2843472160	2691768087	2823848328	2855139568	2657870589	147987392	2828270113	hprc	HG02486	M	19844028.0	2568104.0
2712646639	2843999366	2690961196	2822196917	2856062033	2654332320	147456179	2824892270	hprc	HG03098	M	20492951.0	2610820.0
2715306028	2841030341	2686522432	2809215784	2853413622	2639745012	147390522	2809720524	hprc	HG02572	M	20128694.0	2456296.0
2797001834	2795554962	2785516290	2785168312	2802682235	2619001934	148995275	2767997209	eichler	NA18939	F		
2780463136	2779093381	2771353714	2770023128	2789549188	2603248623	148579031	2751827654	eichler	HG01114	F		
2810836756	2812429559	2798332796	2799423515	2817927623	2621373080	1890132	2627174489	eichler	HG02492	M	2962751.0	948526.0
2844251476	2843461886	2813907790	2817926167	2837522624	2644811993	149360856	2794172849	hprc	HG02109	F		
2841328857	2842666023	2819091856	2820645012	2833137244	2656964829	149580178	2806545007	hprc	NA21309	F		
2811607899	2811851513	2801929101	2802222817	2827000864	2618403187	3985809	2630728252	eichler	HG00512	M	5781870.0	2557386.0
2843263610	2843529594	2820209496	2823110134	2836193205	2657872945	149080487	2806953432	hprc	HG00733	F		
2717271529	2842033065	2693574795	2822339055	2854762020	2658404547	147875207	2828149747	hprc	HG005	M	19200522.0	2669471.0
2799663213	2799621518	2788963459	2788318290	2805612584	2622212794	149452175	2771664969	eichler	HG03683	F		
2715874263	2844723861	2698842428	2827066020	2859052153	2664169591	147967496	2835977924	hprc	HG00621	M	21187345.0	2653492.0
2795056527	2794753073	2785942345	2784975623	2804073435	2617216406	149628125	2766844531	eichler	NA20847	F		
2799026213	2797935618	2787549352	2786938847	2803528368	2621577715	149375533	2770953248	eichler	HG00733	F		
2818748047	2818931932	2809044834	2808039933	2831900087	2627205007	4695333	2641120771	li	NA24385	M	6581378.0	2639053.0
2844594679	2843157107	2820965610	2820307750	2837268103	2655517891	148284860	2803802751	hprc	HG01978	F		
2803069114	2803280416	2793912283	2793842321	2813579118	2615310086	2327985	2623834081	eichler	NA19239	M	3814333.0	2381677.0
2811005921	2809783876	2799280228	2798827760	2820610054	2617875927	2172556	2627317803	eichler	HG01505	M	4618700.0	2650620.0
2843563060	2842404041	2816278155	2813053524	2834890761	2649258162	145182756	2794440918	hprc	NA19240	F		
2718453953	2843122943	2695087273	2821089928	2856846553	2656476322	146159421	2825262135	hprc	HG01243	M	20040874.0	2585518.0
2787975899	2787950741	2782626491	2782654088	2799156938	2618235805	147807188	2766042993	eichler	NA12878	F		
2843084508	2844876872	2823546038	2827046812	2839028484	2661749170	149779819	2811528989	hprc	HG01123	F		
2845822699	2843424123	2825443238	2818448160	2837551486	2657908242	148426728	2806334970	hprc	HG02559	F		
2842946134	2842328098	2816023219	2820518148	2835223113	2654955594	146357318	2801312912	hprc	HG02818	F		
2792038441	2794241515	2782183491	2785313009	2802303505	2616113343	149075457	2765188800	eichler	HG00513	F		
2800656130	2801626401	2782177035	2785065250	2808758350	2610432984	147995388	2758428372	eichler	HG02818	F		
2793172599	2790327628	2784508846	2781412749	2801267912	2615279330	149374353	2764653683	eichler	NA19240	F		
2715820816	2846745352	2694051175	2825587419	2857416948	2659406099	147747943	2830844557	hprc	HG00673	M	21083365.0	2607150.0
2718927440	2843858121	2696449471	2822992526	2857498444	2659172539	146750690	2828712839	hprc	HG02145	M	20280971.0	2508639.0
2791385478	2698624526	2780105326	2687881136	2797347215	2521411629	149227618	2670639247	eichler	HG00732	F		
2804616630	2805048771	2794673951	2794939046	2818011299	2613760767	3437389	2623829440	eichler	NA20509	M	4636325.0	1994959.0
2844525635	2844556820	2818393777	2823940602	2835936049	2656877793	149519949	2806397742	hprc	NA20129	F		
2804017102	2806051226	2793764008	2795752381	2817071213	2613229365	3090652	2623358557	eichler	NA19650	M	4481588.0	2556952.0
2715434832	2844282965	2689058652	2823609237	2856083911	2653889541	147598286	2825030861	hprc	HG03579	M	20908758.0	2634276.0
2844396051	2839394232	2827572578	2819878931	2839785557	2657909991	149621203	2807531194	hprc	HG01361	F		
2808469199	2809934367	2797556789	2800616032	2820856748	2619006833	3674829	2631126382	eichler	HG00096	M	5840979.0	2603741.0
2846316985	2841667314	2824875640	2818270053	2837451989	2656619851	149073853	2805693704	hprc	HG00741	F		
2716993654	2843175522	2692088275	2821561129	2853038838	2657686811	147579188	2826604336	hprc	HG02055	M	18706776.0	2631561.0
2717601903	2843349446	2695380303	2824276264	2856233984	2660771513	147524378	2830103522	hprc	HG02717	M	19176377.0	2631254.0
2823822530	2826321247	2810865018	2813351736	2836559143	2628085336	4040429	2640116678	li	PGP1	M	5394963.0	2595950.0
2842948196	2845683671	2812298386	2815368137	2833553540	2644277842	149834870	2794112712	hprc	HG03516	F		
2803933444	2802294274	2796546704	2794701771	2815023846	2627672220	148534906	2776207126	li	NA12878	F		
2799172261	2797062609	2789671139	2788944280	2811980617	2609428143	3424305	2621738552	eichler	HG01596	M	6274306.0	2611798.0
2810137545	2807944038	2799714943	2796711617	2819839421	2619188509	3883974	2631380239	eichler	HG03065	M	5714264.0	2593492.0
2716064909	2845108825	2698708602	2821958208	2857070041	2660991055	147722565	2831355837	hprc	HG01952	M	20056351.0	2585866.0
2721022065	2840993623	2698851527	2819254678	2858518721	2656938614	147578974	2828032415	hprc	HG01109	M	20941395.0	2573432.0
2842588028	2716521921	2823569190	2700916031	2856092591	2665559577	147429627	2837183285	hprc	HG002	M	21516001.0	2678080.0
2844537795	2840738116	2821534818	2818636782	2834688250	2655997782	149480372	2805478154	hprc	HG02723	F		
2784704362	2785333838	2775498106	2776867636	2795762974	2607611646	148959857	2756571503	eichler	HG02587	F		
2845731203	2843659649	2811694305	2809349341	2833403192	2638256995	149236999	2787493994	hprc	NA18906	F		
2802818735	2803809188	2794141813	2795288333	2814572759	2617450405	1836369	2623542674	eichler	NA18534	M	3057948.0	1197952.0
2845794384	2842275721	2821637644	2818867070	2833211891	2657930809	149361460	2807292269	hprc	HG03453	F		
2798826655	2796678004	2787714839	2786750055	2803583930	2621297818	149574228	2770872046	eichler	NA19983	F		
2796059656	2795877782	2786159361	2785666125	2803536839	2619274314	148977220	2768251534	eichler	HG00864	F		
2815678275	2814565836	2798422742	2796309159	2824292075	2609664424	2127696	2618013518	eichler	NA24385	M	3591520.0	2629878.0
