sample	project	haplotype	n_contigs	n50
HG02492	eichler	H2	1804	38136910
HG01258	hprc	1	324	52140236
HG02622	hprc	1	270	51868217
NA19650	eichler	H2	2188	25650380
HG00732	eichler	H2	1859	29689724
NA24385	eichler	H2	7639	25653134
NA18534	eichler	H2	2261	27047529
NA18939	eichler	H2	1981	33087429
HG02622	hprc	2	292	65960538
NA19650	eichler	H1	2159	23796933
HG01258	hprc	2	346	57345822
NA18534	eichler	H1	2311	27980516
NA18939	eichler	H1	2090	29370022
HG00732	eichler	H1	1686	30968458
NA24385	eichler	H1	8003	32602800
HG02886	hprc	2	461	28918703
HG02257	hprc	1	306	60193972
HG01596	eichler	H2	3422	17806305
HG03683	eichler	H1	1818	33419983
HG02492	eichler	H1	1906	34063570
HG02630	hprc	2	497	26823154
HG02148	hprc	1	487	42375574
HG00621	hprc	1	287	55097324
HG01071	hprc	1	330	58534626
NA19239	eichler	H2	2772	28202841
HG03540	hprc	2	435	30841024
HG03098	hprc	2	331	37408365
HG02572	hprc	2	632	24857558
HG02486	hprc	2	283	56831411
HG03371	eichler	H1	2045	32007876
HG02587	eichler	H1	3511	20087019
HG02080	hprc	1	485	24510387
HG002	hprc	1	610	86209598
HG00741	hprc	2	297	41984044
HG00513	eichler	H1	2210	33230349
HG03732	eichler	H1	2508	28986947
HG01114	eichler	H2	2937	19630063
NA19240	eichler	H2	3010	28893679
HG002	giab	mat	355	162676710
HG01243	hprc	2	345	33963506
HG03453	hprc	1	480	27608875
HG03516	hprc	2	320	45990687
PGP1	li	H1	8396	14858698
HG02723	hprc	1	529	25008977
NA18906	hprc	1	304	44380108
HG00864	eichler	H1	2368	28104570
NA20129	hprc	2	448	21279396
NA12329	eichler	H2	2152	30540687
HG00514	eichler	H2	2716	19803657
HG00733	li	H2	4379	28262556
HG03065	eichler	H2	2029	32118279
HG01361	hprc	2	295	51230552
HG00673	hprc	2	348	30205297
HG02145	hprc	2	437	24562806
HG01361	hprc	1	288	48579413
HG00673	hprc	1	420	35349399
HG02145	hprc	1	817	19811583
HG03065	eichler	H1	2042	33102449
NA12329	eichler	H1	2180	33088290
HG00514	eichler	H1	2501	20521109
NA20129	hprc	1	481	22894438
HG00733	li	H1	4445	28043572
PGP1	li	H2	8582	18444923
HG02723	hprc	2	429	23679014
HG03516	hprc	1	369	60468810
NA18906	hprc	2	271	40086634
HG00864	eichler	H2	2389	28082534
HG03732	eichler	H2	2523	26455470
HG002	hprc	2	445	86491595
HG00513	eichler	H2	2217	32808699
HG00741	hprc	1	289	51488948
HG01243	hprc	1	436	29572282
HG03453	hprc	2	439	26379566
HG01114	eichler	H1	3017	17148525
NA19240	eichler	H1	3009	29350757
HG01123	hprc	1	436	44986033
HG02559	hprc	1	260	58723439
HG01952	hprc	1	378	44513869
HG01978	hprc	2	247	63337126
HG02818	hprc	1	566	18279150
HG01109	hprc	2	399	33725740
HG02055	hprc	1	367	35208411
NA19240	hprc	1	453	25768662
NA20847	eichler	H2	1903	27719882
HG02717	hprc	1	399	46946745
HG002	giab	pat	514	159878589
HG00731	eichler	H2	2059	31867613
HG03579	hprc	1	499	27556430
NA24385	li	H1	5912	25830230
HG03125	eichler	H2	5862	17280815
HG00512	eichler	H1	1978	33035505
HG02011	eichler	H1	1998	32098510
NA24385	li	H2	5735	24836347
HG00512	eichler	H2	2059	34034176
HG02011	eichler	H2	1832	36968009
HG03125	eichler	H1	5813	20239668
HG00731	eichler	H1	2041	33456246
HG03579	hprc	2	456	27571623
NA20847	eichler	H1	1953	28983715
HG02717	hprc	2	323	44224222
HG02055	hprc	2	306	35229500
NA19240	hprc	2	387	29368645
HG02559	hprc	2	329	59994954
HG01952	hprc	2	307	55302156
HG01123	hprc	2	340	55326480
HG01109	hprc	1	473	30391630
HG01978	hprc	1	286	53079156
HG02818	hprc	2	620	19770436
