sample	project	n_contigs_maternal_hap	n50_maternal_hap	n_contigs_paternal_hap2	n50_paternal_hap2	mat	pat	mat_1x	pat_1x	diploid	auto	chrX	final	sex	chrY	PARchrX	genome_pct
NA20509	eichler	2143	26097768	2096	28124099	2804616630.0	2805048771.0	2794673951.0	2794939046.0	2818011299.0	2613760767.0	3437389.0	2623829440.0	M	4636325.0	1994959.0	0.8974296588875306
NA20847	eichler	1903	27719882	1953	28983715	2795056527.0	2794753073.0	2785942345.0	2784975623.0	2804073435.0	2617216406.0	149628125.0	2766844531.0	F			0.9463451799863025
NA24385	eichler	7639	25653134	8003	32602800	2815678275.0	2814565836.0	2798422742.0	2796309159.0	2824292075.0	2609664424.0	2127696.0	2618013518.0	M	3591520.0	2629878.0	0.8954404362585716
HG002	giab	355	162676710	514	159878589	2842588028.0	2716521921.0	2823569190.0	2700916031.0	2856092591.0	2665559577.0	147429627.0	2837183285.0	M	21516001.0	2678080.0	0.9704031782107579
HG002	hprc	610	86209598	445	86491595												
HG00438	hprc	276	49138847	258	56346258	2843829397.0	2843592720.0	2825183583.0	2821824843.0	2836125176.0	2660993333.0	149754751.0	2810748084.0	F			0.9613615335617623
HG005	hprc	682	59439096	503	70607932	2717271529.0	2842033065.0	2693574795.0	2822339055.0	2854762020.0	2658404547.0	147875207.0	2828149747.0	M	19200522.0	2669471.0	0.9673134328171369
HG00621	hprc	287	55097324	253	50348198	2715874263.0	2844723861.0	2698842428.0	2827066020.0	2859052153.0	2664169591.0	147967496.0	2835977924.0	M	21187345.0	2653492.0	0.9699909080019649
HG00673	hprc	420	35349399	348	30205297	2715820816.0	2846745352.0	2694051175.0	2825587419.0	2857416948.0	2659406099.0	147747943.0	2830844557.0	M	21083365.0	2607150.0	0.968235139991467
HG00733	hprc	681	41705652	609	46109172	2843263610.0	2843529594.0	2820209496.0	2823110134.0	2836193205.0	2657872945.0	149080487.0	2806953432.0	F			0.9600636468935051
HG00735	hprc	299	55142853	244	57240366	2843872271.0	2845622966.0	2823760767.0	2824375421.0	2838735817.0	2659570724.0	149829154.0	2809399878.0	F			0.9609004060081778
HG00741	hprc	289	51488948	297	41984044	2846316985.0	2841667314.0	2824875640.0	2818270053.0	2837451989.0	2656619851.0	149073853.0	2805693704.0	F			0.9596327815132725
HG01071	hprc	330	58534626	236	50750055	2844554217.0	2844178555.0	2820885125.0	2819807634.0	2837414524.0	2653228640.0	150043330.0	2803271970.0	F			0.958804474655973
HG01106	hprc	284	58165746	272	50195910	2716976597.0	2845258594.0	2696747506.0	2830118739.0	2858435458.0	2665399263.0	147769334.0	2835825471.0	M	20005192.0	2651682.0	0.9699387644282628
HG01109	hprc	473	30391630	399	33725740	2721022065.0	2840993623.0	2698851527.0	2819254678.0	2858518721.0	2656938614.0	147578974.0	2828032415.0	M	20941395.0	2573432.0	0.9672733016961381
HG01123	hprc	436	44986033	340	55326480	2843084508.0	2844876872.0	2823546038.0	2827046812.0	2839028484.0	2661749170.0	149779819.0	2811528989.0	F			0.9616286268785343
HG01175	hprc	365	34846907	315	36565270	2843678329.0	2841273137.0	2824030010.0	2819587807.0	2837053242.0	2657794318.0	148749029.0	2806543347.0	F			0.9599233853216002
HG01243	hprc	436	29572282	345	33963506	2718453953.0	2843122943.0	2695087273.0	2821089928.0	2856846553.0	2656476322.0	146159421.0	2825262135.0	M	20040874.0	2585518.0	0.9663257814810197
HG01258	hprc	324	52140236	346	57345822	2719116900.0	2841414994.0	2695692574.0	2821920162.0	2856341351.0	2658519636.0	147721645.0	2829372507.0	M	20546278.0	2584948.0	0.9677316540143581
HG01358	hprc	441	52599478	334	49776303	2720147062.0	2844677408.0	2695636090.0	2825881711.0	2857955944.0	2660642011.0	147568069.0	2831599734.0	M	20780227.0	2609427.0	0.9684934335478919
HG01361	hprc	288	48579413	295	51230552	2844396051.0	2839394232.0	2827572578.0	2819878931.0	2839785557.0	2657909991.0	149621203.0	2807531194.0	F			0.960261259111233
HG01891	hprc	427	59998234	331	87239510	2844502076.0	2844470778.0	2818519379.0	2821984655.0	2837461878.0	2653719213.0	149322943.0	2803042156.0	F			0.9587258712618333
HG01928	hprc	317	50115675	244	54860574	2718811432.0	2844842868.0	2697628725.0	2824918585.0	2857755046.0	2662087428.0	147928397.0	2834694737.0	M	22018453.0	2660459.0	0.9695520189285581
HG01952	hprc	378	44513869	307	55302156	2716064909.0	2845108825.0	2698708602.0	2821958208.0	2857070041.0	2660991055.0	147722565.0	2831355837.0	M	20056351.0	2585866.0	0.9684100133384159
HG01978	hprc	286	53079156	247	63337126	2844594679.0	2843157107.0	2820965610.0	2820307750.0	2837268103.0	2655517891.0	148284860.0	2803802751.0	F			0.958986017939432
HG02055	hprc	367	35208411	306	35229500	2716993654.0	2843175522.0	2692088275.0	2821561129.0	2853038838.0	2657686811.0	147579188.0	2826604336.0	M	18706776.0	2631561.0	0.9667848551415349
HG02080	hprc	485	24510387	422	21790360	2845025039.0	2843070419.0	2825544661.0	2821971112.0	2837762679.0	2660753917.0	148930810.0	2809684727.0	F			0.9609978330501218
HG02109	hprc	481	24166191	445	23571898	2844251476.0	2843461886.0	2813907790.0	2817926167.0	2837522624.0	2644811993.0	149360856.0	2794172849.0	F			0.95569229787698
HG02145	hprc	817	19811583	437	24562806	2718927440.0	2843858121.0	2696449471.0	2822992526.0	2857498444.0	2659172539.0	146750690.0	2828712839.0	M	20280971.0	2508639.0	0.9675060274476333
HG02148	hprc	487	42375574	423	40992292	2844043488.0	2843914991.0	2823978522.0	2822417256.0	2836221629.0	2660913921.0	149255025.0	2810168946.0	F			0.9611634507100855
HG02257	hprc	306	60193972	292	63974109	2842071604.0	2843282730.0	2820172774.0	2824059467.0	2834014412.0	2660552442.0	149665379.0	2810217821.0	F			0.9611801674500952
HG02486	hprc	342	64610041	283	56831411	2718313448.0	2843472160.0	2691768087.0	2823848328.0	2855139568.0	2657870589.0	147987392.0	2828270113.0	M	19844028.0	2568104.0	0.9673546016586304
HG02559	hprc	260	58723439	329	59994954	2845822699.0	2843424123.0	2825443238.0	2818448160.0	2837551486.0	2657908242.0	148426728.0	2806334970.0	F			0.9598521140349916
HG02572	hprc	641	20257892	632	24857558	2715306028.0	2841030341.0	2686522432.0	2809215784.0	2853413622.0	2639745012.0	147390522.0	2809720524.0	M	20128694.0	2456296.0	0.9610100767154337
HG02622	hprc	270	51868217	292	65960538	2843928290.0	2845053140.0	2815907677.0	2819508448.0	2834698329.0	2654726751.0	145985650.0	2800712401.0	F			0.9579290240266176
HG02630	hprc	532	29358606	497	26823154	2845875884.0	2843925715.0	2824357742.0	2820024504.0	2836488541.0	2658652995.0	149088819.0	2807741814.0	F			0.9603332975722219
HG02717	hprc	399	46946745	323	44224222	2717601903.0	2843349446.0	2695380303.0	2824276264.0	2856233984.0	2660771513.0	147524378.0	2830103522.0	M	19176377.0	2631254.0	0.9679816834301771
HG02723	hprc	529	25008977	429	23679014	2844537795.0	2840738116.0	2821534818.0	2818636782.0	2834688250.0	2655997782.0	149480372.0	2805478154.0	F			0.959559056841987
HG02818	hprc	566	18279150	620	19770436	2842946134.0	2842328098.0	2816023219.0	2820518148.0	2835223113.0	2654955594.0	146357318.0	2801312912.0	F			0.9581344170958745
HG02886	hprc	503	29952225	461	28918703	2844303389.0	2844135372.0	2814599110.0	2812756329.0	2835146215.0	2649100686.0	143058009.0	2792158695.0	F			0.9550033958052175
HG03098	hprc	445	34831274	331	37408365	2712646639.0	2843999366.0	2690961196.0	2822196917.0	2856062033.0	2654332320.0	147456179.0	2824892270.0	M	20492951.0	2610820.0	0.9661992763752669
HG03453	hprc	480	27608875	439	26379566	2845794384.0	2842275721.0	2821637644.0	2818867070.0	2833211891.0	2657930809.0	149361460.0	2807292269.0	F			0.9601795394773341
HG03486	hprc	519	27204768	480	24320580	2841867413.0	2843172914.0	2817958786.0	2819198542.0	2832630048.0	2654765997.0	149626117.0	2804392114.0	F			0.9591875980528295
HG03492	hprc	618	20223849	495	19113774	2718388169.0	2842479961.0	2695715244.0	2820423432.0	2855377588.0	2658249414.0	147563473.0	2826906412.0	M	18773463.0	2320062.0	0.9668881743426634
HG03516	hprc	369	60468810	320	45990687	2842948196.0	2845683671.0	2812298386.0	2815368137.0	2833553540.0	2644277842.0	149834870.0	2794112712.0	F			0.9556717291896355
HG03540	hprc	512	35135444	435	30841024	2841447119.0	2844143927.0	2811749597.0	2822057850.0	2835755402.0	2649560687.0	148491358.0	2798052045.0	F			0.9570191011706566
HG03579	hprc	499	27556430	456	27571623	2715434832.0	2844282965.0	2689058652.0	2823609237.0	2856083911.0	2653889541.0	147598286.0	2825030861.0	M	20908758.0	2634276.0	0.9662466787223702
NA18906	hprc	304	44380108	271	40086634	2845731203.0	2843659649.0	2811694305.0	2809349341.0	2833403192.0	2638256995.0	149236999.0	2787493994.0	F			0.9534079258545327
NA19240	hprc	453	25768662	387	29368645	2843563060.0	2842404041.0	2816278155.0	2813053524.0	2834890761.0	2649258162.0	145182756.0	2794440918.0	F			0.9557839856473666
NA20129	hprc	481	22894438	448	21279396	2844525635.0	2844556820.0	2818393777.0	2823940602.0	2835936049.0	2656877793.0	149519949.0	2806397742.0	F			0.9598735839726671
NA21309	hprc	608	17870629	501	20876992	2841328857.0	2842666023.0	2819091856.0	2820645012.0	2833137244.0	2656964829.0	149580178.0	2806545007.0	F			0.9599239530922071
HG00733	li	4379	28262556	4445	28043572	2802512086.0	2802845737.0	2789506233.0	2790710049.0	2809555401.0	2622223539.0	148338260.0	2770561799.0	F			0.947616598967421
NA12878	li	9127	19229137	9334	20093541	2803933444.0	2802294274.0	2796546704.0	2794701771.0	2815023846.0	2627672220.0	148534906.0	2776207126.0	F			0.9495474729055984
NA24385	li	5735	24836347	5912	25830230	2818748047.0	2818931932.0	2809044834.0	2808039933.0	2831900087.0	2627205007.0	4695333.0	2641120771.0	M	6581378.0	2639053.0	0.9033438212353093
PGP1	li	8582	18444923	8396	14858698	2823822530.0	2826321247.0	2810865018.0	2813351736.0	2836559143.0	2628085336.0	4040429.0	2640116678.0	M	5394963.0	2595950.0	0.9030003908183988
